elem_idx,offset,radius,hitted,tof_total
0,-0.01,0.01,False,0
1,-0.01,0.01,False,0
2,-0.01,0.01,False,0
3,-0.01,0.01,False,0
4,-0.01,0.01,False,0
5,-0.01,0.01,False,0
6,-0.01,0.01,False,0
7,-0.01,0.01,False,0
8,-0.01,0.01,False,0
9,-0.01,0.01,False,0
10,-0.01,0.01,False,0
11,-0.01,0.01,False,0
12,-0.01,0.01,False,0
13,-0.01,0.01,False,0
14,-0.01,0.01,False,0
15,-0.01,0.01,False,0
16,-0.01,0.01,False,0
17,-0.01,0.01,False,0
18,-0.01,0.01,False,0
19,-0.01,0.01,False,0
20,-0.01,0.01,False,0
21,-0.01,0.01,False,0
22,-0.01,0.01,False,0
23,-0.01,0.01,False,0
24,-0.01,0.01,False,0
25,-0.01,0.01,False,0
26,-0.01,0.01,False,0
27,-0.01,0.01,False,0
28,-0.01,0.01,False,0
29,-0.01,0.01,False,0
30,-0.01,0.01,False,0
31,-0.01,0.01,False,0
32,-0.01,0.01,True,0.00015719982658918318
33,-0.01,0.01,False,0
34,-0.01,0.01,False,0
35,-0.01,0.01,False,0
36,-0.01,0.01,False,0
37,-0.01,0.01,False,0
38,-0.01,0.01,False,0
39,-0.01,0.01,False,0
40,-0.01,0.01,False,0
41,-0.01,0.01,False,0
42,-0.01,0.01,False,0
43,-0.01,0.01,False,0
44,-0.01,0.01,True,0.00015110491324953906
45,-0.01,0.01,False,0
46,-0.01,0.01,False,0
47,-0.01,0.01,False,0
48,-0.01,0.01,False,0
49,-0.01,0.01,False,0
50,-0.01,0.01,False,0
51,-0.01,0.01,False,0
52,-0.01,0.01,False,0
53,-0.01,0.01,False,0
54,-0.01,0.01,False,0
55,-0.01,0.01,False,0
56,-0.01,0.01,False,0
57,-0.01,0.01,False,0
58,-0.01,0.01,False,0
59,-0.01,0.01,False,0
60,-0.01,0.01,False,0
61,-0.01,0.01,False,0
62,-0.01,0.01,False,0
63,-0.01,0.01,False,0
64,-0.01,0.01,False,0
0,-0.009000000000000001,0.01,False,0
1,-0.009000000000000001,0.01,False,0
2,-0.009000000000000001,0.01,False,0
3,-0.009000000000000001,0.01,False,0
4,-0.009000000000000001,0.01,False,0
5,-0.009000000000000001,0.01,False,0
6,-0.009000000000000001,0.01,True,0.00015530336827308214
7,-0.009000000000000001,0.01,False,0
8,-0.009000000000000001,0.01,False,0
9,-0.009000000000000001,0.01,False,0
10,-0.009000000000000001,0.01,False,0
11,-0.009000000000000001,0.01,False,0
12,-0.009000000000000001,0.01,False,0
13,-0.009000000000000001,0.01,False,0
14,-0.009000000000000001,0.01,False,0
15,-0.009000000000000001,0.01,False,0
16,-0.009000000000000001,0.01,False,0
17,-0.009000000000000001,0.01,False,0
18,-0.009000000000000001,0.01,False,0
19,-0.009000000000000001,0.01,False,0
20,-0.009000000000000001,0.01,False,0
21,-0.009000000000000001,0.01,False,0
22,-0.009000000000000001,0.01,False,0
23,-0.009000000000000001,0.01,False,0
24,-0.009000000000000001,0.01,False,0
25,-0.009000000000000001,0.01,False,0
26,-0.009000000000000001,0.01,False,0
27,-0.009000000000000001,0.01,False,0
28,-0.009000000000000001,0.01,False,0
29,-0.009000000000000001,0.01,False,0
30,-0.009000000000000001,0.01,False,0
31,-0.009000000000000001,0.01,False,0
32,-0.009000000000000001,0.01,True,0.000151374060470545
33,-0.009000000000000001,0.01,False,0
34,-0.009000000000000001,0.01,False,0
35,-0.009000000000000001,0.01,False,0
36,-0.009000000000000001,0.01,False,0
37,-0.009000000000000001,0.01,False,0
38,-0.009000000000000001,0.01,False,0
39,-0.009000000000000001,0.01,False,0
40,-0.009000000000000001,0.01,False,0
41,-0.009000000000000001,0.01,False,0
42,-0.009000000000000001,0.01,False,0
43,-0.009000000000000001,0.01,False,0
44,-0.009000000000000001,0.01,False,0
45,-0.009000000000000001,0.01,False,0
46,-0.009000000000000001,0.01,False,0
47,-0.009000000000000001,0.01,False,0
48,-0.009000000000000001,0.01,False,0
49,-0.009000000000000001,0.01,False,0
50,-0.009000000000000001,0.01,False,0
51,-0.009000000000000001,0.01,False,0
52,-0.009000000000000001,0.01,False,0
53,-0.009000000000000001,0.01,False,0
54,-0.009000000000000001,0.01,False,0
55,-0.009000000000000001,0.01,False,0
56,-0.009000000000000001,0.01,False,0
57,-0.009000000000000001,0.01,False,0
58,-0.009000000000000001,0.01,False,0
59,-0.009000000000000001,0.01,False,0
60,-0.009000000000000001,0.01,False,0
61,-0.009000000000000001,0.01,False,0
62,-0.009000000000000001,0.01,False,0
63,-0.009000000000000001,0.01,False,0
64,-0.009000000000000001,0.01,False,0
0,-0.008,0.01,False,0
1,-0.008,0.01,False,0
2,-0.008,0.01,False,0
3,-0.008,0.01,True,0.0001538644915951366
4,-0.008,0.01,False,0
5,-0.008,0.01,False,0
6,-0.008,0.01,False,0
7,-0.008,0.01,False,0
8,-0.008,0.01,False,0
9,-0.008,0.01,False,0
10,-0.008,0.01,False,0
11,-0.008,0.01,False,0
12,-0.008,0.01,False,0
13,-0.008,0.01,False,0
14,-0.008,0.01,False,0
15,-0.008,0.01,False,0
16,-0.008,0.01,False,0
17,-0.008,0.01,False,0
18,-0.008,0.01,False,0
19,-0.008,0.01,False,0
20,-0.008,0.01,False,0
21,-0.008,0.01,True,0.00015124111841024213
22,-0.008,0.01,True,0.0001510564781632728
23,-0.008,0.01,False,0
24,-0.008,0.01,False,0
25,-0.008,0.01,False,0
26,-0.008,0.01,False,0
27,-0.008,0.01,False,0
28,-0.008,0.01,False,0
29,-0.008,0.01,False,0
30,-0.008,0.01,False,0
31,-0.008,0.01,False,0
32,-0.008,0.01,True,0.00014916084259264975
33,-0.008,0.01,False,0
34,-0.008,0.01,False,0
35,-0.008,0.01,False,0
36,-0.008,0.01,False,0
37,-0.008,0.01,False,0
38,-0.008,0.01,False,0
39,-0.008,0.01,False,0
40,-0.008,0.01,True,0.00014525032795012664
41,-0.008,0.01,False,0
42,-0.008,0.01,False,0
43,-0.008,0.01,False,0
44,-0.008,0.01,False,0
45,-0.008,0.01,False,0
46,-0.008,0.01,False,0
47,-0.008,0.01,False,0
48,-0.008,0.01,False,0
49,-0.008,0.01,False,0
50,-0.008,0.01,False,0
51,-0.008,0.01,False,0
52,-0.008,0.01,False,0
53,-0.008,0.01,False,0
54,-0.008,0.01,False,0
55,-0.008,0.01,False,0
56,-0.008,0.01,False,0
57,-0.008,0.01,False,0
58,-0.008,0.01,False,0
59,-0.008,0.01,False,0
60,-0.008,0.01,False,0
61,-0.008,0.01,False,0
62,-0.008,0.01,False,0
63,-0.008,0.01,False,0
64,-0.008,0.01,False,0
0,-0.007,0.01,False,0
1,-0.007,0.01,False,0
2,-0.007,0.01,False,0
3,-0.007,0.01,False,0
4,-0.007,0.01,False,0
5,-0.007,0.01,False,0
6,-0.007,0.01,False,0
7,-0.007,0.01,False,0
8,-0.007,0.01,False,0
9,-0.007,0.01,False,0
10,-0.007,0.01,False,0
